run_name,ramsey_r,ramsey_s,ramsey_n,status_dual_bound,status_num_solution_nonzeros_binary,status_num_solution_nonzeros_continuous,status_num_solution_nonzeros_integer,status_objective,status_primal_bound,status_solution_status,status_termination_reason,metric_num_boxes,metric_num_burls,metric_num_cores,metric_num_cuts_applied,metric_num_cuts_generated,metric_num_lp_iterations,metric_num_nodes_leaves,metric_num_nodes_parent,metric_num_nodes_processed,metric_num_nodes_pruned,metric_num_nodes_total,metric_num_nodes_unprocessed,metric_num_solutions_found,metric_time_zero_epoch_seconds,metric_timeline_init_seconds,metric_timeline_postsolve_seconds,metric_timeline_presolve_seconds,metric_timeline_solve_seconds,metric_timeline_total_seconds,problem_known_objective,problem_name,problem_num_constraints,problem_num_constraints_aggregation,problem_num_constraints_binary_packing,problem_num_constraints_cardinality,problem_num_constraints_empty,problem_num_constraints_equation_knapsack,problem_num_constraints_free,problem_num_constraints_general,problem_num_constraints_integer_knapsack,problem_num_constraints_invariant_knapsack,problem_num_constraints_knapsack,problem_num_constraints_mixed_binary,problem_num_constraints_precedence,problem_num_constraints_set_covering,problem_num_constraints_set_packing,problem_num_constraints_set_partitioning,problem_num_constraints_singleton,problem_num_constraints_variable_bound,problem_num_nonzeros,problem_num_presolved_constraints,problem_num_presolved_nonzeros,problem_num_presolved_variables,problem_num_presolved_variables_binary,problem_num_presolved_variables_continuous,problem_num_presolved_variables_integer,problem_num_variables,problem_num_variables_binary,problem_num_variables_continuous,problem_num_variables_integer,problem_objective_sense,detail_dive_num_entered,detail_dive_num_infeasible_domain,detail_dive_num_infeasible_lp,detail_dive_num_pruned,detail_dive_num_success,detail_domainprop_num_calls,detail_domainprop_num_cons_propagated,detail_domainprop_num_infeasible,detail_domainprop_num_obj_propagated,detail_domainprop_num_passes_completed,detail_domainprop_num_redcost_propagated,detail_domainprop_num_reset,detail_domainprop_num_runaway_bouns,detail_domainprop_num_vars_propagated,detail_first_time_feasible_seconds,detail_first_time_gap_10_percent_seconds,detail_first_time_gap_1_percent_seconds,detail_first_time_gap_2_percent_seconds,detail_first_time_gap_5_percent_seconds,detail_nodes_branched,detail_nodes_cut,detail_nodes_post_lp_infeasible,detail_nodes_post_lp_integer,detail_nodes_post_lp_leaf,detail_nodes_post_lp_pruned,detail_nodes_pre_lp_infeasible,detail_nodes_pre_lp_integer,detail_nodes_pre_lp_leaf,detail_nodes_pre_lp_pruned,detail_timeslice_burl_branch_and_bound_seconds,detail_timeslice_burl_cuts_seconds,detail_timeslice_burl_dive_seconds,detail_timeslice_burl_heuristics_seconds,detail_timeslice_burl_solve_seconds,detail_timeslice_burl_strong_branch_seconds,detail_timeslice_burl_total_seconds,bounds_num_updates,bounds_final_dual,bounds_final_primal,bounds_first_timestamp,bounds_last_timestamp,bounds_duration,bounds_origin_none_count,stdout_clean,root_lp_objective,root_lp_winner,stages_observed,num_stages_observed,original_constraints,original_variables,original_nonzeros,final_status_log,final_objective_log,termination_message,solved_in_presolve,derived_solve_fraction,derived_presolve_fraction,derived_cut_efficiency,derived_presolve_var_reduction,derived_presolve_con_reduction,derived_nodes_per_second,derived_is_optimal,derived_has_solution,detail_cut_cover_applied,detail_cut_cover_created,detail_cut_cover_evaluate_seconds,detail_cut_cover_excluded_by_density,detail_cut_cover_excluded_by_dynamic_range,detail_cut_cover_excluded_by_efficacy,detail_cut_cover_excluded_by_obj_parallelism,detail_cut_cover_generate_seconds,detail_cut_cover_not_suitable,detail_cut_cover_total_seconds,detail_cut_gomory_applied,detail_cut_gomory_created,detail_cut_gomory_evaluate_seconds,detail_cut_gomory_excluded_by_density,detail_cut_gomory_excluded_by_dynamic_range,detail_cut_gomory_excluded_by_efficacy,detail_cut_gomory_excluded_by_obj_parallelism,detail_cut_gomory_generate_seconds,detail_cut_gomory_not_suitable,detail_cut_gomory_total_seconds,detail_cut_mir_applied,detail_cut_mir_created,detail_cut_mir_evaluate_seconds,detail_cut_mir_excluded_by_density,detail_cut_mir_excluded_by_dynamic_range,detail_cut_mir_excluded_by_efficacy,detail_cut_mir_excluded_by_obj_parallelism,detail_cut_mir_generate_seconds,detail_cut_mir_not_suitable,detail_cut_mir_total_seconds,detail_cut_strong_cg_applied,detail_cut_strong_cg_created,detail_cut_strong_cg_evaluate_seconds,detail_cut_strong_cg_excluded_by_density,detail_cut_strong_cg_excluded_by_dynamic_range,detail_cut_strong_cg_excluded_by_efficacy,detail_cut_strong_cg_excluded_by_obj_parallelism,detail_cut_strong_cg_generate_seconds,detail_cut_strong_cg_not_suitable,detail_cut_strong_cg_total_seconds,detail_heuristic_analogsat_calls,detail_heuristic_analogsat_found_feasible_solutions,detail_heuristic_analogsat_iterations,detail_heuristic_analogsat_total_seconds,detail_heuristic_clique_heuristic_calls,detail_heuristic_clique_heuristic_found_feasible_solutions,detail_heuristic_clique_heuristic_iterations,detail_heuristic_clique_heuristic_total_seconds,detail_heuristic_feasibility_jump_calls,detail_heuristic_feasibility_jump_found_feasible_solutions,detail_heuristic_feasibility_jump_iterations,detail_heuristic_feasibility_jump_total_seconds,detail_heuristic_rens_calls,detail_heuristic_rens_found_feasible_solutions,detail_heuristic_rens_iterations,detail_heuristic_rens_total_seconds,detail_heuristic_trivial_calls,detail_heuristic_trivial_found_feasible_solutions,detail_heuristic_trivial_iterations,detail_heuristic_trivial_total_seconds,bounds_origin_heuristic_count,presolved_constraints_log,presolved_variables_log,presolved_nonzeros_log,detail_heuristic_advanced_rounding_calls,detail_heuristic_advanced_rounding_found_feasible_solutions,detail_heuristic_advanced_rounding_iterations,detail_heuristic_advanced_rounding_total_seconds,detail_heuristic_cuopt_mip_calls,detail_heuristic_cuopt_mip_found_feasible_solutions,detail_heuristic_cuopt_mip_iterations,detail_heuristic_cuopt_mip_running_seconds,detail_heuristic_cuopt_mip_total_seconds,detail_heuristic_cuopt_mip_waiting_for_root_seconds,detail_heuristic_inner_set_calls,detail_heuristic_inner_set_found_feasible_solutions,detail_heuristic_inner_set_iterations,detail_heuristic_inner_set_total_seconds,detail_heuristic_shifting_calls,detail_heuristic_shifting_found_feasible_solutions,detail_heuristic_shifting_iterations,detail_heuristic_shifting_total_seconds,detail_heuristic_simple_rounding_calls,detail_heuristic_simple_rounding_found_feasible_solutions,detail_heuristic_simple_rounding_iterations,detail_heuristic_simple_rounding_total_seconds
ramsey_r3_s3_n3,3,3,3,,1,1,0,0.0,,optimal,finished,1,64,64,0,0,0,0,0,0,0,0,0,0,1773605057.532929,0.003827991,0.0,0.026104836000000003,0.0,0.058653088000000006,,ramsey_r3_s3_n3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,4,3,1,0,minimize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.226747352,1,,,0.034379742000000005,0.034379742000000005,0.0,1,"[    0.028]:[      layout_manager.cpp:  246]: Box Assignments:
[    0.028]:[      layout_manager.cpp:  249]: Box client 1 assigned to rank 0, domain 0, burls 64
[    0.032]:[              banner.cpp:   67]:        ▼         _____                
[    0.032]:[              banner.cpp:   68]:    ▴ ▾   ▾ ▴    |  __ \               
[    0.032]:[              banner.cpp:   69]:  ▴  ▴  ▾  ▴  ▴  | |__) |___  ___  ___ 
[    0.032]:[              banner.cpp:   70]: ▶  ▸       ◂  ◀ |  _  // _ \/ __|/ _ \
[    0.032]:[              banner.cpp:   71]:  ▾  ▾  ▴  ▾  ▾  | | \ \ (_) \__ \  __/
[    0.032]:[              banner.cpp:   72]:    ▾ ▴   ▴ ▾    |_|  \_\___/|___/\___|
[    0.032]:[              banner.cpp:   73]:        ▲       
[    0.032]:[              banner.cpp:   77]: Version: 5.18.2-release-2-g44b7ec85e
[    0.032]:[              banner.cpp:   83]: Host: rose-worker-job-3a11b598-e196-4dd7-8981-0db988e02ec6-wsbr9
[    0.033]:[         head_client.cpp:  397]: Problem loaded: ramsey_r3_s3_n3
[    0.033]:[         head_client.cpp:  398]: Sense: minimize
[    0.033]:[         head_client.cpp:  399]: Objective offset: 0.000000
[    0.033]:[         head_client.cpp:  400]: Original:  3 x 4, nonz: 7
[    0.034]:[         head_client.cpp:  479]: Problem solved at the Head in Highs
[    0.034]:[   head_client_state.cpp:   95]: Terminating
[    0.058]:[   head_client_state.cpp:  104]: Exiting
[    0.058]:[         head_client.cpp:  236]: Head has solved the problem locally via highs presolve

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .
----------- ------------- ------------- --------- --------- --------- --------- ---------
[    0.058]           inf          -inf      nan%              0/0       0/0    3 0 0 1 0
[    0.058]:[         head_client.cpp:  290]: Solution validation OK
[    0.058]:[  mpi_messenger_send.cpp:   54]: Client 0 wants to send to client 1, but target already closed.
[    0.058]:[             message.cpp:   45]: Cannot Send:   src: -1    dst:  1    size:        0    channel: messenger           tag: last_message    
[    0.059]:[         head_client.cpp:  320]: Termination reason: finished,  Message: Finished in Head by Highs
[    0.059]:[         head_client.cpp:  712]: Final    objective: 0, status: optimal
",,,,0,3,4,7,optimal,0.0,Finished in Head by Highs,1,0.0,0.4450718093478727,,1.0,1.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramsey_r3_s3_n5,3,3,5,-0.0,5,1,0,0.0,0.0,optimal,finished,1,64,64,0,10,9,1,1,2,0,3,1,5,1773605065.478461,0.0035396610000000004,0.00027431300000000004,0.0017716250000000002,0.028901849,0.060182076,,ramsey_r3_s3_n5,21,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,1,0,61,10,30,10,10,0,0,11,10,1,0,minimize,0,0,0,0,0,3,20,1,3,3,0,0,0,0,0.02173982,0.026998378,0.026998503,0.026998465000000003,0.026998428,1,0,0,0,0,0,1,0,1,0,3.8053e-05,0.002856423,0.047112671,0.0021582420000000003,0.000226469,0.0,0.258465192,3,-0.0,0.0,0.031051580000000002,0.059931847,0.028880267,1,"[    0.026]:[      layout_manager.cpp:  246]: Box Assignments:
[    0.026]:[      layout_manager.cpp:  249]: Box client 1 assigned to rank 0, domain 0, burls 64
[    0.029]:[              banner.cpp:   67]:        ▼         _____                
[    0.029]:[              banner.cpp:   68]:    ▴ ▾   ▾ ▴    |  __ \               
[    0.029]:[              banner.cpp:   69]:  ▴  ▴  ▾  ▴  ▴  | |__) |___  ___  ___ 
[    0.029]:[              banner.cpp:   70]: ▶  ▸       ◂  ◀ |  _  // _ \/ __|/ _ \
[    0.029]:[              banner.cpp:   71]:  ▾  ▾  ▴  ▾  ▾  | | \ \ (_) \__ \  __/
[    0.029]:[              banner.cpp:   72]:    ▾ ▴   ▴ ▾    |_|  \_\___/|___/\___|
[    0.029]:[              banner.cpp:   73]:        ▲       
[    0.029]:[              banner.cpp:   77]: Version: 5.18.2-release-2-g44b7ec85e
[    0.029]:[              banner.cpp:   83]: Host: rose-worker-job-e53fc5a5-7a76-40d7-b744-23fc0a177bef-9sqjj
[    0.030]:[         head_client.cpp:  397]: Problem loaded: ramsey_r3_s3_n5
[    0.030]:[         head_client.cpp:  398]: Sense: minimize
[    0.030]:[         head_client.cpp:  399]: Objective offset: 0.000000
[    0.030]:[         head_client.cpp:  400]: Original:  21 x 11, nonz: 61
[    0.031]:[         head_client.cpp:  471]: Presolved: 10 x 10, nonz: 30
[    0.031]:[         head_client.cpp:  473]: Presolved objective offset: 0.000000

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage  box burl method
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- ---- -------------------------
[    0.054]          -inf         0.000      inf%     fjump    2/2       0/0    0 0 0 0 0 contest
[    0.054]          -inf         0.000      inf%              2/2       0/0    0 0 0 0 0 contest
[    0.055]          -inf         0.000      inf%              2/2       0/0    0 0 0 0 0 contest    1   52 highs
[    0.055]          -inf         0.000      inf%              2/2       0/0    0 0 0 0 0 contest    1   59 cuopt
[    0.055]:[        root_contest.cpp:  111]: Root LP contest winner: cuopt, status: optimal, on box 1, objective: -0
[    0.055]:[        root_contest.cpp:  177]: Selected method for branch: cuopt

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage pass requested responded  created selected     kept    total int_fix
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- --------- --------- -------- -------- -------- -------- -------
[    0.055]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 1    cuts
[    0.056]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 0    cuts    1      30        30         0        0        0        0        0
[    0.056]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 0    cuts    1      30        30         0
[    0.056]:[    root_cut_manager.cpp:  208]: No change, aborting cut loop.

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage  done
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- -----
[    0.056]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 0 strongb     0

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage pass  done avg.len nodesol  infeas    feas
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- ----- ------- ------- ------- -------
[    0.056]        -0.000         0.000     0.00%              0/4       2/60   1 3 0 0 0    dive    0     0       0       0       0       0
[    0.057]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 0    dive    1  1000       1    1000    1000       0
[    0.058]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 0    dive    2  1000       1    1000    1000       0

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage    solved    pruned      leaf       inQ     cuts
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- --------- --------- --------- --------- --------
[    0.059]        -0.000         0.000     0.00%              0/4       2/60   0 0 0 0 0  branch         0         0         0         0     0.00
[    0.059]:[head_branching_controlle:  132]: Mip Gap threshold reached!!
[    0.059]:[   head_client_state.cpp:   95]: Terminating
[    0.060]:[   head_client_state.cpp:  104]: Exiting
[    0.060]:[         head_client.cpp:  595]: Head proceeding to postsolve the current solution (10x10)

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .
----------- ------------- ------------- --------- --------- --------- --------- ---------
[    0.060]        -0.000         0.000     0.00%              0/4       0/60   0 0 0 0 0
[    0.060]:[         head_client.cpp:  290]: Solution validation OK
[    0.060]:[  mpi_messenger_send.cpp:   54]: Client 0 wants to send to client 1, but target already closed.
[    0.060]:[             message.cpp:   45]: Cannot Send:   src: -1    dst:  1    size:        0    channel: messenger           tag: last_message    
[    0.060]:[         head_client.cpp:  320]: Termination reason: finished,  Message: Mip Gap threshold reached!!
[    0.060]:[         head_client.cpp:  712]: Final    objective: 0, status: optimal
",-0.0,cuopt,"branch,contest,cuts,dive,strongb",5,21,11,61,optimal,0.0,Mip Gap threshold reached!!,0,0.480240146584508,0.029437751532532714,0.0,0.09090909090909094,0.5238095238095238,103.79958735512042,1,1,0,0,0.0,0,0,0,0,0.0,10,0.00011151300000000001,0,10,4.342e-06,10,0,0,0,0.00010898300000000002,0,0.000114345,0,0,0.0,0,0,0,0,4.424e-06,10,4.454000000000001e-06,0,0,0.0,0,0,0,0,0.0,0,0.0,1,1,60,0.0005656690000000001,0,0,0,0.0,1,1,8,0.000581893,0,0,0,0.0,1,0,0,1.8023e-05,2,10,10,30,,,,,,,,,,,,,,,,,,,,,,
ramsey_r3_s3_n6,3,3,6,,,,,,,no_solution,finished,1,64,64,0,18,37741,20,19,39,0,39,0,0,1773605055.831693,0.0038899850000000003,0.000313151,0.002377231,1.186417686,1.220350475,,ramsey_r3_s3_n6,41,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,1,0,121,20,60,15,15,0,0,16,15,1,0,minimize,0,0,0,0,0,77,1074,20,39,115,0,0,0,234,0.0,0.0,0.0,0.0,0.0,19,0,0,0,0,0,20,0,20,0,0.000139681,0.05432358300000001,0.26283901500000006,0.629577381,0.002209859,0.0,70.73790921700001,3,-0.0,,0.033673166000000004,1.220042698,1.186369532,3,"[    0.027]:[      layout_manager.cpp:  246]: Box Assignments:
[    0.027]:[      layout_manager.cpp:  249]: Box client 1 assigned to rank 0, domain 0, burls 64
[    0.031]:[              banner.cpp:   67]:        ▼         _____                
[    0.031]:[              banner.cpp:   68]:    ▴ ▾   ▾ ▴    |  __ \               
[    0.031]:[              banner.cpp:   69]:  ▴  ▴  ▾  ▴  ▴  | |__) |___  ___  ___ 
[    0.031]:[              banner.cpp:   70]: ▶  ▸       ◂  ◀ |  _  // _ \/ __|/ _ \
[    0.031]:[              banner.cpp:   71]:  ▾  ▾  ▴  ▾  ▾  | | \ \ (_) \__ \  __/
[    0.031]:[              banner.cpp:   72]:    ▾ ▴   ▴ ▾    |_|  \_\___/|___/\___|
[    0.031]:[              banner.cpp:   73]:        ▲       
[    0.031]:[              banner.cpp:   77]: Version: 5.18.2-release-2-g44b7ec85e
[    0.031]:[              banner.cpp:   83]: Host: rose-worker-job-68467cfa-2de7-48d8-a3c2-0158159249a0-8frgp
[    0.032]:[         head_client.cpp:  397]: Problem loaded: ramsey_r3_s3_n6
[    0.032]:[         head_client.cpp:  398]: Sense: minimize
[    0.032]:[         head_client.cpp:  399]: Objective offset: 0.000000
[    0.032]:[         head_client.cpp:  400]: Original:  41 x 16, nonz: 121
[    0.034]:[         head_client.cpp:  471]: Presolved: 20 x 15, nonz: 60
[    0.034]:[         head_client.cpp:  473]: Presolved objective offset: 0.000000

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage  box burl method
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- ---- -------------------------
[    0.173]          -inf           inf      nan%              0/0       0/0    1 0 0 0 0 contest
[    0.173]          -inf           inf      nan%              0/0       0/0    1 0 0 0 0 contest    1   34 highs
[    0.173]          -inf           inf      nan%              0/0       0/0    1 0 0 0 0 contest    1   63 cuopt
[    0.174]:[        root_contest.cpp:  111]: Root LP contest winner: cuopt, status: optimal, on box 1, objective: -0
[    0.174]:[        root_contest.cpp:  177]: Selected method for branch: cuopt

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage pass requested responded  created selected     kept    total int_fix
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- --------- --------- -------- -------- -------- -------- -------
[    0.174]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 1    cuts
[    0.175]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    1      52        52         2        0        0        0        0
[    0.175]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    1      52        52         2
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    2      32        32         2        0        0        0        0
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    2      32        32         2
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    3      32        32         2        0        0        0        0
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    3      32        32         2
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    4      32        32         2        0        0        0        0
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    4      32        32         2
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    5      32        32         2        0        0        0        0
[    0.176]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    5      32        32         2
[    0.177]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    6      32        32         2        0        0        0        0
[    0.177]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    6      32        32         2
[    0.177]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    7      32        32         2        0        0        0        0
[    0.177]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    7      32        32         2
[    0.177]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    8      32        32         2        0        0        0        0
[    0.177]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    8      32        32         2
[    0.178]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    9      32        32         2        0        0        0        0
[    0.178]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts    9      32        32         2
[    0.178]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   10      32        32         2        0        0        0        0
[    0.178]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   10      32        32         2

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage pass requested responded  created selected     kept    total int_fix
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- --------- --------- -------- -------- -------- -------- -------
[    0.178]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   11      32        32         2        0        0        0        0
[    0.178]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   11      32        32         2
[    0.179]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   12      32        32         2        0        0        0        0
[    0.179]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   12      32        32         2
[    0.179]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   13      32        32         2        0        0        0        0
[    0.179]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   13      32        32         2
[    0.179]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   14      32        32         2        0        0        0        0
[    0.179]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   14      32        32         2
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   15      32        32         2        0        0        0        0
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   15      32        32         2
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   16      32        32         2        0        0        0        0
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   16      32        32         2
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   17      32        32         2        0        0        0        0
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   17      32        32         2
[    0.180]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   18      32        32         2        0        0        0        0
[    0.181]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   18      32        32         2
[    0.181]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   19      32        32         2        0        0        0        0
[    0.181]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   19      32        32         2
[    0.181]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   20      32        32         2        0        0        0        0
[    0.181]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    cuts   20      32        32         2

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage  done
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- -----
[    0.181]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0 strongb     0

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage pass  done avg.len nodesol  infeas    feas
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- ---- ----- ------- ------- ------- -------
[    0.181]        -0.000           inf      nan%              1/4       1/60   2 2 0 0 0    dive    0     0       0       0       0       0
[    0.190]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    dive    1  1000       2    2000       0       0
[    0.204]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0    dive    2  1000       5    4682     924       0

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .   stage    solved    pruned      leaf       inQ     cuts
----------- ------------- ------------- --------- --------- --------- --------- --------- ------- --------- --------- --------- --------- --------
[    0.218]        -0.000           inf      nan%              1/4       1/60   1 0 0 0 0  branch         0         0         0         0     0.00
[    1.218]        -0.000           inf      nan%              1/4       0/60   0 0 0 0 0  branch         0         0         0         1     0.00
[    1.219]:[head_branching_controlle:  141]: Head thinks there are no more nodes!!
[    1.219]:[   head_client_state.cpp:   95]: Terminating
[    1.220]:[   head_client_state.cpp:  104]: Exiting
[    1.220]:[         head_client.cpp:  611]: Problem finished with no valid solution. (0x0)

                                                                                r R R F e
                                                                                o E I J t
                                                                                o N N m c
       time      dual obj    primal obj       gap    origin    Pburls    Dburls t S S p .
----------- ------------- ------------- --------- --------- --------- --------- ---------
[    1.220]           inf           inf      nan%              0/0       0/0    0 0 0 0 0
[    1.220]:[  mpi_messenger_send.cpp:   54]: Client 0 wants to send to client 1, but target already closed.
[    1.220]:[             message.cpp:   45]: Cannot Send:   src: -1    dst:  1    size:        0    channel: messenger           tag: last_message    
[    1.220]:[         head_client.cpp:  320]: Termination reason: finished,  Message: Head thinks there are no more nodes!!
[    1.220]:[         head_client.cpp:  712]: Final    objective: -nan, status: no_solution
",-0.0,cuopt,"branch,contest,cuts,dive,strongb",5,41,16,121,no_solution,nan,Head thinks there are no more nodes!!,0,0.9721942264168004,0.0019479903918585356,0.0,0.0625,0.5121951219512195,32.87206559730938,0,0,0,0,0.0,0,0,0,0,0.0,33,0.000528192,3,18,7.417000000000001e-06,15,0,0,0,0.00012497100000000003,0,0.000134218,0,0,0.0,0,0,0,0,1.032e-06,1,1.032e-06,0,0,0.0,0,0,0,0,0.0,0,0.0,1,0,100000,0.298622814,0,0,0,0.0,9,0,90000,0.322284446,0,0,0,0.0,1,0,0,2.7590000000000002e-05,,20,15,60,1,0,3,7.33e-06,0,0,0,0.00029320800000000004,0.00029341100000000004,3.2e-08,1,0,0,0.0007624130000000001,1,0,13,1.1258000000000001e-05,0,0,0,2.2179999999999998e-06
